index,genres,keywords,original_language,popularity,production_companies,release_date,runtime,tagline,title,vote_average,cast,director
0,Action Adventure Fantasy Science Fiction,culture clash future space war space colony society,en,150.437577,"[{""name"": ""Ingenious Film Partners"", ""id"": 289}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Lightstorm Entertainment"", ""id"": 574}]",10-12-2009,162,Enter the World of Pandora.,Avatar,7.2,Sam Worthington Zoe Saldana Sigourney Weaver Stephen Lang Michelle Rodriguez,James Cameron
1,Adventure Fantasy Action,ocean drug abuse exotic island east india trading company love of one's life,en,139.082615,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Second Mate Productions"", ""id"": 19936}]",19-05-2007,169,"At the end of the world, the adventure begins.",Pirates of the Caribbean: At World's End,6.9,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Chow Yun-fat,Gore Verbinski
2,Action Adventure Crime,spy based on novel secret agent sequel mi6,en,107.376788,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Danjaq"", ""id"": 10761}, {""name"": ""B24"", ""id"": 69434}]",26-10-2015,148,A Plan No One Escapes,Spectre,6.3,Daniel Craig Christoph Waltz L\u00e9a Seydoux Ralph Fiennes Monica Bellucci,Sam Mendes
3,Action Crime Drama Thriller,dc comics crime fighter terrorist secret identity burglar,en,112.31295,"[{""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}, {""name"": ""Syncopy"", ""id"": 9996}]",16-07-2012,165,The Legend Ends,The Dark Knight Rises,7.6,Christian Bale Michael Caine Gary Oldman Anne Hathaway Tom Hardy,Christopher Nolan
4,Action Adventure Science Fiction,based on novel mars medallion space travel princess,en,43.926995,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}]",07-03-2012,132,"Lost in our world, found in another.",John Carter,6.1,Taylor Kitsch Lynn Collins Samantha Morton Willem Dafoe Thomas Haden Church,Andrew Stanton
5,Fantasy Action Adventure,dual identity amnesia sandstorm love of one's life forgiveness,en,115.699814,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Laura Ziskin Productions"", ""id"": 326}, {""name"": ""Marvel Enterprises"", ""id"": 19551}]",01-05-2007,139,The battle within.,Spider-Man 3,5.9,Tobey Maguire Kirsten Dunst James Franco Thomas Haden Church Topher Grace,Sam Raimi
6,Animation Family,hostage magic horse fairy tale musical,en,48.681969,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Walt Disney Animation Studios"", ""id"": 6125}]",24-11-2010,100,They're taking adventure to new lengths.,Tangled,7.4,Zachary Levi Mandy Moore Donna Murphy Ron Perlman M.C. Gainey,Byron Howard
7,Action Adventure Science Fiction,marvel comic sequel superhero based on comic book vision,en,134.279229,"[{""name"": ""Marvel Studios"", ""id"": 420}, {""name"": ""Prime Focus"", ""id"": 15357}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]",22-04-2015,141,A New Age Has Come.,Avengers: Age of Ultron,7.3,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson,Joss Whedon
8,Adventure Fantasy Family,witch magic broom school of witchcraft wizardry,en,98.885637,"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Heyday Films"", ""id"": 7364}]",07-07-2009,153,Dark Secrets Revealed,Harry Potter and the Half-Blood Prince,7.4,Daniel Radcliffe Rupert Grint Emma Watson Tom Felton Michael Gambon,David Yates
9,Action Adventure Fantasy,dc comics vigilante superhero based on comic book revenge,en,155.790452,"[{""name"": ""DC Comics"", ""id"": 429}, {""name"": ""Atlas Entertainment"", ""id"": 507}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}, {""name"": ""Cruel & Unusual Films"", ""id"": 9995}, {""name"": ""RatPac-Dune Entertainment"", ""id"": 41624}]",23-03-2016,151,Justice or revenge,Batman v Superman: Dawn of Justice,5.7,Ben Affleck Henry Cavill Gal Gadot Amy Adams Jesse Eisenberg,Zack Snyder
10,Adventure Fantasy Action Science Fiction,saving the world dc comics invulnerability sequel superhero,en,57.925623,"[{""name"": ""DC Comics"", ""id"": 429}, {""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Bad Hat Harry Productions"", ""id"": 9168}]",28-06-2006,154,,Superman Returns,5.4,Brandon Routh Kevin Spacey Kate Bosworth James Marsden Parker Posey,Bryan Singer
11,Adventure Action Thriller Crime,killing undercover secret agent british secret service,en,107.928811,"[{""name"": ""Eon Productions"", ""id"": 7576}]",30-10-2008,106,"For love, for hate, for justice, for revenge.",Quantum of Solace,6.1,Daniel Craig Olga Kurylenko Mathieu Amalric Judi Dench Giancarlo Giannini,Marc Forster
12,Adventure Fantasy Action,witch fortune teller bondage exotic island monster,en,145.847379,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Second Mate Productions"", ""id"": 19936}]",20-06-2006,151,Jack is back!,Pirates of the Caribbean: Dead Man's Chest,7,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Bill Nighy,Gore Verbinski
13,Action Adventure Western,texas horse survivor texas ranger partner,en,49.046956,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Infinitum Nihil"", ""id"": 2691}, {""name"": ""Silver Bullet Productions (II)"", ""id"": 37380}, {""name"": ""Blind Wink Productions"", ""id"": 37381}, {""name"": ""Classic Media"", ""id"": 37382}]",03-07-2013,149,Never Take Off the Mask,The Lone Ranger,5.9,Johnny Depp Armie Hammer William Fichtner Helena Bonham Carter James Badge Dale,Gore Verbinski
14,Action Adventure Fantasy Science Fiction,saving the world dc comics superhero based on comic book superhuman,en,99.398009,"[{""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}, {""name"": ""Syncopy"", ""id"": 9996}, {""name"": ""Cruel and Unusual Films"", ""id"": 78685}]",12-06-2013,143,You will believe that a man can fly.,Man of Steel,6.5,Henry Cavill Amy Adams Michael Shannon Kevin Costner Diane Lane,Zack Snyder
